loss,acc,val_loss,val_acc
7.971192,0.000000,7.971192,0.000000
7.971192,0.000000,7.971192,0.000000
7.971192,0.000000,7.971192,0.000000
7.971192,0.000000,7.971192,0.000000
7.971192,0.000000,7.971192,0.000000
7.971192,0.000000,7.971192,0.000000
7.971192,0.000000,7.971192,0.000000
1.285974,0.500000,1.285974,0.500000
0.664046,0.631280,0.773865,0.573920
0.755975,0.529680,0.779551,0.512840
0.747815,0.502880,0.749554,0.502000
0.850077,0.500000,0.847991,0.500000
0.732631,0.500000,0.733983,0.500000
0.731237,0.500000,0.732130,0.500000
0.741788,0.499040,0.740295,0.496000
0.741506,0.499680,0.739738,0.505160
0.665074,0.592560,0.698844,0.557720
7.971192,0.000000,7.971192,0.000000
7.971192,0.000000,7.971192,0.000000
7.971192,0.000000,7.971192,0.000000
7.971192,0.000000,7.971192,0.000000
7.971192,0.000000,7.971192,0.000000
7.971192,0.000000,7.971192,0.000000
7.971192,0.000000,7.971192,0.000000
7.971192,0.000000,7.971192,0.000000